No.,Distance_matrix,Feasible_solution,Cost,Solve time (sec)
0,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 6, 5, 1], [2, 0, 1, 3], [3, 4, 0, 2], [4, 5, 6, 0]]'",135,0.11617011199996341
1,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 4, 3, 2], [1, 0, 2, 3], [6, 5, 0, 1], [5, 6, 4, 0]]'",120,0.11039600100002644
2,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 5, 6, 2], [3, 0, 1, 4], [4, 2, 0, 3], [1, 6, 5, 0]]'",56,0.11587579900015044
3,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 6, 5, 4], [2, 0, 4, 1], [1, 3, 0, 2], [3, 5, 6, 0]]'",121,0.11391803000014988
4,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 4, 3, 2], [1, 0, 2, 3], [6, 5, 0, 1], [5, 6, 4, 0]]'",106,0.1222742790000666
5,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 2, 3, 4], [5, 0, 4, 6], [6, 1, 0, 5], [1, 3, 2, 0]]'",129,0.11823173899983885
6,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 1, 3, 2], [6, 0, 2, 3], [4, 5, 0, 6], [5, 4, 1, 0]]'",121,0.11198836999983541
7,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 3, 2, 1], [5, 0, 1, 6], [6, 4, 0, 5], [4, 2, 3, 0]]'",77,0.2002608920001876
8,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 5, 4, 6], [2, 0, 6, 3], [3, 1, 0, 2], [1, 4, 5, 0]]'",137,0.1981943619998674
9,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 6, 4, 5], [2, 0, 1, 3], [3, 5, 0, 6], [1, 4, 2, 0]]'",57,0.2047446920000766
